agent,count(*)
"Mozilla/5.0 (Macintosh; Intel Mac OS X 10.7; rv:48.0) Gecko/20100101 Firefox/48.0",2561
"VisualDx Android/7.2.14 (Android 6.0.1-MCG24.251-5-5; motorola XT1254/APQ8084;WIFI)",2557
"modmed%20Practice/1703071716 CFNetwork/808.1.4 Darwin/16.1.0",2544
"VisualDx Apple/7.0.2 (10.2.1;iPhone;mobile)",2529
"VisualDx Apple/7.0.4 (10.3;iPad;mobile)",2517
"Mozilla/5.0 (iPad; CPU OS 10_0_2 like Mac OS X) AppleWebKit/602.1.50 (KHTML, like Gecko) Version/10.0 Mobile/14A456 Safari/602.1",2448
Googlebot-Image/1.0,2434
"VisualDx Android/7.2.11 (Android 6.0.1-MMB29M; samsung SM-N910V/APQ8084;MOBILE)",2420
"VisualDx Apple/2.25.1 (8.1.2;iPhone;mobile)",2412
"VisualDx Apple/2.22 (10.2.1;iPhone;WIFI)",2375
"Mozilla/5.0 (X11; CrOS armv7l 9000.91.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.110 Safari/537.36",2371
"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.95 Safari/537.36",2361
"Mozilla/5.0 (Linux; Android 6.0.1; SM-A510M Build/MMB29K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Mobile Safari/537.36",2360
"VisualDx Android/7.2.14 (Android 7.0-NRD90M; samsung SM-G930T/msm8996;WIFI)",2355
"Mozilla/5.0 (iPad; CPU OS 10_1_1 like Mac OS X) AppleWebKit/602.2.14 (KHTML, like Gecko) Version/10.0 Mobile/14B100 Safari/602.1",2341
"VisualDx Apple/2.25.2 (9.3.5;iPhone;mobile)",2332
"VisualDx Apple/2.24.1 (8.1.3;iPad;WIFI)",2322
"Mozilla/5.0 (iPhone; CPU iPhone OS 10_2_1 like Mac OS X) AppleWebKit/602.1.50 (KHTML, like Gecko) CriOS/56.0.2924.79 Mobile/14D27 Safari/602.1",2316
"VisualDx Apple/2.24.1 (10.0.2;iPhone;mobile)",2288
"VisualDx Android/7.2.14 (Android 7.1.1-N4F26T; LGE Nexus 5X/bullhead;MOBILE)",2265
"VisualDx Apple/7.0.3 (10.2.1;iPad;mobile)",2257
"VisualDx Apple/2.25.2 (10.1.1;iPhone;mobile)",2253
"VisualDx Android/7.2.11 (Android 7.0-NRD90M; samsung SM-G935T/msm8996;WIFI)",2249
"VisualDx Android/7.2.14 (Android 4.4.2-17.1.1.B.3.174; Sony SO-03F/MSM8974;WIFI)",2242
"VisualDx Android/7.2.10 (Android 4.4.4-KTU84P; samsung SM-A500F/MSM8916;mobile)",2233
"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36",2205
"VisualDx Android/7.2.11 (Android 6.0.1-MMB29M; samsung SM-G935V/msm8996;MOBILE)",2197
"VisualDx Apple/2.25.0 (8.1;iPhone;mobile)",2173
"VisualDx Android/7.2.11 (Android 6.0-MPHS24.49-18-16; motorola XT1575/msm8992;WIFI)",2173
"VisualDx Apple/2.25.2 (9.3.2;iPhone;mobile)",2155
"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/52.0.2743.116 Safari/537.36",2150
"VisualDx Android/7.2.11 (Android 5.0.2-LRX22G; LGE LG-V500/MSM8960;WIFI)",2150
"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.116 Safari/537.36",2146
"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/54.0.2840.87 Safari/537.36",2134
"VisualDx Android/7.2.11 (Android 6.0.1-MMB29M; samsung SM-G900V/MSM8974;WIFI)",2115
"VisualDx Android/7.2.11 (Android 6.0.1-MMB29M; samsung SAMSUNG-SM-G891A/msm8996;WIFI)",2100
"VisualDx Android/7.2.14 (Android 5.0-LRX21V; samsung SM-N900P/MSM8974;WIFI)",2100
"VisualDx Android/7.2.11 (Android 5.0.2-LRX22G; samsung SM-S920L/MSM8916;MOBILE)",2088
"VisualDx Android/7.2.14 (Android 6.0.1-MMB29M; samsung SM-G900V/MSM8974;MOBILE)",2084
"Mozilla/5.0 (iPhone; CPU iPhone OS 10_2_1 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) GSA/23.1.148956103 Mobile/14D27 Safari/600.1.4",2071
"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/33.0.1750.154 Safari/537.36",2059
"VisualDx Apple/7.0.4 (10.0.1;iPad;mobile)",2034
"VisualDx Android/7.2.14 (Android 6.0.1-MMB29M; samsung SM-G930V/msm8996;MOBILE)",2025
"Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.1; Trident/7.0; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0; Tablet PC 2.0; .NET4.0C; .NET4.0E)",2021
"VisualDx Android/7.2.14 (Android 7.1.1-N4F26T; Huawei Nexus 6P/angler;WIFI)",2021
"VisualDx Android/7.2.14 (Android 7.0-NCK25.118-10; motorola XT1585/msm8994;MOBILE)",1999
"VisualDx Apple/2.22 (6.1;iPhone;WIFI)",1992
"VisualDx Android/7.2.11 (Android 6.0.1-MMB29M; samsung SM-G935V/msm8996;WIFI)",1978
"VisualDx Android/7.2.11 (Android 6.0.1-32.2.A.5.11; Sony E5803/msm8994;MOBILE)",1968
"Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2987.98 Safari/537.36",1966
"VisualDx Android/7.2.11 (Android 6.0.1-MMB29M; samsung SM-G900V/MSM8974;MOBILE)",1963
"VisualDx Android/7.2.11 (Android 5.0-LRX21V; samsung SM-N900T/MSM8974;MOBILE)",1944
"VisualDx Android/7.2.14 (Android 6.0.1-MMB29K; samsung SAMSUNG-SM-J120A/universal3475;MOBILE)",1942
"Mozilla/5.0 (Windows NT 6.3; Win64; x64; rv:52.0) Gecko/20100101 Firefox/52.0",1941
"Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.2; WOW64; Trident/7.0; QG Managed)",1935
"VisualDx Android/7.2.14 (Android 7.0-NRD90M; samsung SM-G930P/msm8996;WIFI)",1927
"VisualDx Android/7.2.11 (Android 6.0.1-MMB29K; samsung SM-G930F/universal8890;WIFI)",1926
"VisualDx Android/7.2.14 (Android 6.0.1-MMB29K; samsung SAMSUNG-SM-G890A/universal7420;WIFI)",1923
"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/42.0.2311.135 Safari/537.36",1921
"Mozilla/5.0 (Windows NT 6.1; WOW64; rv:43.0) Gecko/20100101 Firefox/43.0",1919
"VisualDx Android/7.2.14 (Android 7.0-NRD90M; samsung SAMSUNG-SM-G935A/msm8996;WIFI)",1897
"VisualDx Android/7.2.11 (Android 5.1.1-23.4.A.1.232; Sony D6502/MSM8974;WIFI)",1893
"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2987.133 Safari/537.36",1892
"Mozilla/5.0 (iPhone; CPU iPhone OS 10_2_1 like Mac OS X) AppleWebKit/602.1.50 (KHTML, like Gecko) CriOS/57.0.2987.100 Mobile/14D27 Safari/602.1",1889
"Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.1; Trident/7.0; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0; .NET4.0C; .NET4.0E; Tablet PC 2.0)",1878
"VisualDx Android/7.2.14 (Android 4.4.2-KOT49H; LENOVO Lenovo A5000/lcsh82_cwet_lx_kk;mobile)",1871
"Mozilla/5.0 (Windows NT 6.3; WOW64; Trident/7.0; UADFSWIA; rv:11.0) like Gecko",1869
"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2987.98 Safari/537.36",1861
"Mozilla/5.0 (iPad; CPU OS 10_2_1 like Mac OS X) AppleWebKit/602.1.50 (KHTML, like Gecko) CriOS/56.0.2924.79 Mobile/14D27 Safari/602.1",1853
"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.95 Safari/537.36",1851
"Mozilla/5.0 (Macintosh; Intel Mac OS X 10.6; rv:48.0) Gecko/20100101 Firefox/48.0",1848
"VisualDx Android/7.1.8 (Android 6.0.1-MCG24.251-5-5; motorola XT1254/APQ8084;MOBILE)",1836
"VisualDx Apple/2.25.2 (8.4;iPhone;mobile)",1816
"VisualDx Android/7.2.14 (Android 6.0.1-MMB29M; samsung SM-N910T/APQ8084;WIFI)",1803
"VisualDx Android/7.2.14 (Android 7.1.1-NOF27B; Google Pixel/sailfish;MOBILE)",1798
"VisualDx Android/7.2.11 (Android 7.0-NRD90M; samsung SM-G935T/msm8996;MOBILE)",1786
"VisualDx Android/7.2.14 (Android 6.0.1-MMB29K; asus Nexus 7/flo;WIFI)",1767
"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/43.0.2357.132 Safari/537.36",1753
"VisualDx Apple/7.0.4 (9.3.4;iPad;mobile)",1748
"Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:45.0) Gecko/20100101 Firefox/45.0",1740
"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2987.133 Safari/537.36",1717
"VisualDx Apple/2.25.2 (7.1.1;iPad;mobile)",1708
"Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:49.0) Gecko/20100101 Firefox/49.0",1706
"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.106 Safari/537.36",1704
"VisualDx Android/7.2.14 (Android 7.0-NRD90M; samsung SM-G930T/msm8996;MOBILE)",1702
"VisualDx Android/7.2.14 (Android 7.1.1-NOF26V; Google Pixel/sailfish;WIFI)",1694
"VisualDx Apple/7.0.2 (9.3.4;iPhone;mobile)",1679
"VisualDx Android/7.2.14 (Android 5.0-LRX21V; samsung SM-N900V/MSM8974;MOBILE)",1678
"Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.1; Win64; x64; Trident/4.0; .NET CLR 2.0.50727; SLCC2; .NET4.0C; .NET4.0E; .NET CLR 3.5.30729; .NET CLR 3.0.30729)",1675
"VisualDx Apple/2.25.2 (8.4;iPad;mobile)",1673
"Mozilla/5.0 (compatible; MegaIndex.ru/2.0; +http://megaindex.com/crawler)",1673
"VisualDx Apple/7.0.3 (9.3.2;iPhone;mobile)",1663
"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2681.0 Safari/537.36",1663
"Mozilla/5.0 (Windows NT 10.0; WOW64; rv:49.0) Gecko/20100101 Firefox/49.0",1661
"VisualDx Apple/2.25.2 (9.3.5;iPad;mobile)",1657
"VisualDx Android/7.2.14 (Android 6.0.1-MMB29K; samsung SM-G920T/universal7420;MOBILE)",1653
"VisualDx Android/7.2.14 (Android 6.0.1-MMB29K; samsung SM-G920I/universal7420;MOBILE)",1652
"VisualDx Android/3.1.10 (Android 4.4.2-KOT49I.D80020y; LGE LG-D800/MSM8974;WIFI)",1639
"VisualDx Apple/2.25.1 (8.4.1;iPad;mobile)",1601
"VisualDx Apple/7.0.4 (10.0.3;iPhone;mobile)",1593
"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/601.6.17 (KHTML, like Gecko) Version/9.1.1 Safari/601.6.17",1592
"modmed%20Practice/1702081650 CFNetwork/808.1.4 Darwin/16.1.0",1582
"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/45.0.2454.99 Safari/537.36",1571
"Mozilla/5.0 (Windows NT 6.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.112 Safari/537.36",1567
"VisualDx Android/7.2.14 (Android 7.0-NRD90M; samsung SM-G935F/universal8890;MOBILE)",1562
"VisualDx Apple/2.24.1 (8.1.2;iPhone;mobile)",1560
"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/601.5.17 (KHTML, like Gecko) Version/9.1 Safari/601.5.17",1557
"VisualDx Android/7.2.14 (Android 5.0.2-LRX22G; Obi SF1/msm8939;WIFI)",1552
"VisualDx Android/7.2.11 (Android 6.0.1-MMB29M; samsung SM-G930U/msm8996;WIFI)",1529
"VisualDx Android/7.2.11 (Android 7.1.1-NOF26V; Google Pixel/sailfish;WIFI)",1525
"Mozilla/5.0 (iPad; CPU OS 10_2_1 like Mac OS X) AppleWebKit/602.1.50 (KHTML, like Gecko) CriOS/57.0.2987.100 Mobile/14D27 Safari/602.1",1521
"VisualDx Android/7.2.11 (Android 6.0.1-MMB29M; samsung SM-G900T/MSM8974;MOBILE)",1507
"VisualDx Android/7.2.11 (Android 7.0-NRD90U; LGE VS987/msm8996;WIFI)",1507
"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/54.0.2840.99 Safari/537.36",1500
"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_5) AppleWebKit/601.6.17 (KHTML, like Gecko) Version/9.1.1 Safari/537.86.6",1498
"VisualDx Android/7.2.11 (Android 7.0-NBD91X; motorola Nexus 6/shamu;MOBILE)",1498
"VisualDx Android/7.2.14 (Android 7.0-NRD90U; LGE LGLS992/msm8996;MOBILE)",1493
"Mozilla/5.0 (iPhone; CPU iPhone OS 9_3_5 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13G36 Safari/601.1",1487
"VisualDx Apple/7.0.3 (10.0.1;iPhone;mobile)",1448
"Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; MDDRJS; rv:11.0) like Gecko",1446
"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_2) AppleWebKit/600.3.18 (KHTML, like Gecko) Version/8.0.3 Safari/600.3.18",1432
"VisualDx Android/7.2.11 (Android 5.0.1-LRX22C; samsung SCH-I545/MSM8960;WIFI)",1429
"VisualDx Android/7.2.14 (Android 7.0-NRD90M; samsung SM-G930F/universal8890;MOBILE)",1424
"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/54.0.2840.87 Safari/537.36",1416
"VisualDx Android/7.2.14 (Android 6.0.1-MMB29K; samsung SM-N920V/universal7420;WIFI)",1415
"VisualDx Apple/2.24.1 (10.2.1;iPhone;mobile)",1399
"VisualDx Android/7.2.11 (Android 6.0.1-MMB29K; samsung SAMSUNG-SM-N920A/universal7420;WIFI)",1397
"VisualDx Android/7.2.11 (Android 6.0.1-MMB29K; samsung SM-G935F/universal8890;WIFI)",1390
"VisualDx Android/7.2.14 (Android 6.0.1-MMB29K; samsung SAMSUNG-SM-N920A/universal7420;WIFI)",1378
"Mozilla/5.0 (Macintosh; Intel Mac OS X 10.9; rv:52.0) Gecko/20100101 Firefox/52.0",1375
"Mozilla/5.0 (Linux; Android 6.0.1; Nexus 5X Build/MMB29P) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2272.96 Mobile Safari/537.36 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)",1365
"VisualDx Android/7.2.14 (Android 5.1.1-LMY47X; samsung SAMSUNG-SM-G920A/universal7420;MOBILE)",1364
"Mozilla/5.0 (Windows NT 6.1; rv:21.0) Gecko/20100101 Firefox/21.0",1363
"VisualDx Apple/7.0.3 (10.1.1;iPhone;mobile)",1363
"Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.1; Win64; x64; Trident/5.0; .NET CLR 2.0.50727; SLCC2; .NET4.0C; .NET4.0E; .NET CLR 3.5.30729; .NET CLR 3.0.30729)",1361
"VisualDx Apple/7.1.0 (9.2.1;iPhone;mobile)",1361
"VisualDx Android/7.2.14 (Android 6.0.1-MMB29K; samsung SM-G925I/universal7420;MOBILE)",1357
"VisualDx Android/7.2.11 (Android 7.0-NRD90M; samsung SM-G930P/msm8996;WIFI)",1354
"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/602.1.50 (KHTML, like Gecko) Version/10.0 Safari/602.1.50",1334
"VisualDx Android/7.2.11 (Android 6.0.1-MMB29K; samsung SAMSUNG-SM-G890A/universal7420;MOBILE)",1333
"VisualDx Android/7.2.14 (Android 6.0.1-MMB29M; samsung SM-G900T/MSM8974;MOBILE)",1330
"VisualDx Apple/2.24.1 (10.1.1;iPhone;WIFI)",1322
"VisualDx Apple/7.1.0 (10.0.1;iPhone;mobile)",1314
"VisualDx Android/7.2.14 (Android 6.0.1-MMB29K; samsung SM-G920T/universal7420;WIFI)",1306
"Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2987.98 Safari/537.36",1302
"VisualDx Android/7.2.14 (Android 7.1.1-NOF27B; Google Pixel/sailfish;WIFI)",1295
"VisualDx Android/7.2.14 (Android 6.0.1-MMB29K; samsung SM-G928P/universal7420;MOBILE)",1292
"Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2987.110 Safari/537.36",1291
"Mozilla/5.0 (Linux; Android 5.1; XT1031 Build/LPB23.13-56-5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Mobile Safari/537.36",1286
"Mozilla/5.0 (Windows NT 6.1; rv:42.0) Gecko/20100101 Firefox/42.0",1283
"VisualDx Apple/2.25.2 (9.0.2;iPhone;mobile)",1280
"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_6) AppleWebKit/601.7.1 (KHTML, like Gecko) Version/9.1.2 Safari/601.7.1",1270
"Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 6.1; Trident/4.0; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0; MDDS; .NET4.0C; BRI/1; BRI/2)",1270
"Mozilla/5.0 (Windows NT 6.1; Win64; x64; rv:51.0) Gecko/20100101 Firefox/51.0",1268
"Mozilla/5.0 (compatible; MJ12bot/v1.4.7; http://mj12bot.com/)",1252
"Mozilla/5.0 (Linux; Android 6.0.1; SM-G930V Build/MMB29M) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Mobile Safari/537.36",1251
"VisualDx Apple/2.25.0 (10.2;iPhone;mobile)",1250
"Mozilla/5.0 (iPhone; CPU iPhone OS 9_3_2 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13F69 Safari/601.1",1242
"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.95 Safari/537.36",1236
"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_5) AppleWebKit/601.7.7 (KHTML, like Gecko) Version/9.1.2 Safari/537.86.7",1234
"Mozilla/5.0 (Linux; Android 6.0.1; SM-G920V Build/MMB29K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Mobile Safari/537.36",1233
"VisualDx Apple/2.25.1 (8.4.1;iPad;WIFI)",1233
"VisualDx Apple/2.25.1 (10.1.1;iPad;WIFI)",1225
"VisualDx Android/7.2.14 (Android 5.0.1-LRX22C; samsung SCH-I545/MSM8960;WIFI)",1225
"Mozilla/5.0 (Windows NT 6.1; Trident/7.0; MDDRJS; rv:11.0) like Gecko",1224
"VisualDx Android/7.2.14 (Android 6.0.1-MMB29K; samsung SM-G920P/universal7420;WIFI)",1224
"VisualDx Android/7.2.14 (Android 4.4.2-KOT49H; HTC HTC Desire 820G PLUS dual sim/lcsh92_cwet_htc_kk;mobile)",1224
"VisualDx Android/7.2.14 (Android 7.0-NRD90M; samsung SAMSUNG-SM-G935A/msm8996;MOBILE)",1218
"VisualDx Android/7.2.14 (Android 6.0.1-M4B30Z; LGE Nexus 5/hammerhead;WIFI)",1210
"VisualDx Android/7.2.11 (Android 4.4.4-KTU84P; ONDA V919 3G Air DualOS/baylake;WIFI)",1207
"VisualDx Android/7.2.11 (Android 6.0.1-MMB29M; samsung SAMSUNG-SM-N910A/APQ8084;WIFI)",1203
"Mozilla/5.0 (Macintosh; Intel Mac OS X 10.12; rv:49.0) Gecko/20100101 Firefox/49.0",1203
"VisualDx Android/7.2.11 (Android 6.0.1-MCG24.251-5; motorola XT1254/APQ8084;WIFI)",1193
"VisualDx Android/7.2.14 (Android 6.0.1-MMB29K; samsung SM-G920I/universal7420;WIFI)",1191
"Mozilla/5.0 (Windows NT 6.3; Trident/7.0; rv:11.0) like Gecko",1183
"VisualDx Apple/2.24 (10.2.1;iPhone;mobile)",1182
"Mozilla/5.0 (Linux; Android 4.2.1; en-us; Nexus 5 Build/JOP40D) AppleWebKit/535.19 (KHTML, like Gecko; googleweblight) Chrome/38.0.1025.166 Mobile Safari/535.19",1176
"VisualDx Android/7.2.14 (Android 6.0.1-MMB29M; samsung SM-G900V/MSM8974;WIFI)",1176
"VisualDx Android/7.2.14 (Android 7.0-NRD90M; samsung SM-G935P/msm8996;MOBILE)",1175
"VisualDx Android/7.2.14 (Android 7.0-NRD90M; samsung SAMSUNG-SM-G930A/msm8996;MOBILE)",1174
"Mobile VisualDx/com.logicalimages.visualdxmobile (7.0.1.51; OS Version 10.2 (Build 14C92))",1173
"VisualDx Android/7.2.11 (Android 4.4.2-KOT49H; samsung SM-G386T1/MSM8226;mobile)",1170
"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36",1169
"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3026.0 Safari/537.36",1167
"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2987.88 Safari/537.36",1158
"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36",1155
"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/53.0.2785.143 Safari/537.36",1150
"VisualDx Android/7.2.14 (Android 6.0.1-MMB29K; samsung SM-G935F/universal8890;WIFI)",1149
"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_3) AppleWebKit/600.5.17 (KHTML, like Gecko) Version/8.0.5 Safari/600.5.17",1144
"Mozilla/5.0 (Linux; Android 6.0.1; SM-G900V Build/MMB29M) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Mobile Safari/537.36",1134
"VisualDx Android/7.2.14 (Android 4.4.4-23.0.A.2.93; Sony D6603/MSM8974;WIFI)",1134
"VisualDx Android/7.2.14 (Android 5.0.2-LRX22G; LGE LG-V410/MSM8226;WIFI)",1133
"VisualDx Android/7.2.11 (Android 4.4.2-KOT49H; samsung SAMSUNG-SGH-I747/MSM8960;WIFI)",1131
"VisualDx Android/7.2.14 (Android 6.0.1-MMB29M; samsung SM-T550/MSM8916;WIFI)",1115
"Mozilla/5.0 (iPhone; CPU iPhone OS 10_0_1 like Mac OS X) AppleWebKit/602.1.50 (KHTML, like Gecko) Version/10.0 Mobile/14A403 Safari/602.1",1111
"VisualDx Apple/2.25.1 (10.1.1;iPhone;mobile)",1109
"VisualDx Apple/2.25.2 (8.4.1;iPad;WIFI)",1102
"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2987.98 Safari/537.36",1099
"Mozilla/5.0 (Windows NT 10.0; rv:51.0) Gecko/20100101 Firefox/51.0",1096
"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.75 Safari/537.36",1095
"VisualDx Android/2.22 (Android 5.0-LRX21V; samsung SAMSUNG-SM-N900A/MSM8974;WIFI)",1083
"VisualDx Android/7.2.14 (Android 6.0.1-MMB29M; samsung SAMSUNG-SM-N910A/APQ8084;MOBILE)",1079
"VisualDx Android/7.2.14 (Android 6.0.1-MMB29M; samsung SM-G930U/msm8996;WIFI)",1074
"VisualDx Android/7.2.11 (Android 5.0.2-LRX22G; Obi SF1/msm8939;WIFI)",1070
"VisualDx Android/7.2.14 (Android 4.4.4-SU6-7.7; motorola XT1080/MSM8960;mobile)",1069
"VisualDx Apple/2.23.01 (7.1.1;iPhone;mobile)",1064
"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.103 Safari/537.36",1058
"Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36",1055
"VisualDx Android/7.2.14 (Android 6.0.1-MMB29M; samsung SM-N910P/APQ8084;WIFI)",1054
"VisualDx Android/7.2.11 (Android 6.0-MRA58K; LGE VS986/msm8992;WIFI)",1053
"Mozilla/5.0 (X11; Linux x86_64; rv:45.0) Gecko/20100101 Firefox/45.0",1051
"VisualDx Android/7.2.11 (Android 4.4.2-17.1.1.B.3.174; Sony SO-03F/MSM8974;WIFI)",1049
"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2987.98 Safari/537.36",1049
"VisualDx Android/7.2.3 (Android 4.4.4-KTU84P; samsung SGH-M919/MSM8960;mobile)",1047
"VisualDx Android/7.2.14 (Android 6.0.1-MMB29K; samsung SAMSUNG-SM-G890A/universal7420;MOBILE)",1042
"Mozilla/5.0 (Windows NT 5.1; rv:52.0) Gecko/20100101 Firefox/52.0",1038
"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_1) AppleWebKit/601.2.7 (KHTML, like Gecko) Version/9.0.1 Safari/601.2.7",1037
"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36",1031
"VisualDx Apple/2.25.2 (8.1;iPad;mobile)",1023
"VisualDx Android/7.2.11 (Android 5.0-LRX21V; samsung SM-N900P/MSM8974;WIFI)",1016
"VisualDx Android/7.2.14 (Android 4.4.2-KOT49H; samsung SM-G386T1/MSM8226;mobile)",1014
"VisualDx Android/7.2.11 (Android 7.0-NRD90M; LGE LG-H918/msm8996;MOBILE)",1007
"VisualDx Android/7.2.14 (Android 7.0-NRD90M; asus ASUS_Z012D/msm8953;WIFI)",1007
"Mozilla/5.0 (iPhone; CPU iPhone OS 9_3_4 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13G35 Safari/601.1",1006
"VisualDx Android/7.2.14 (Android 6.0.1-MMB29K; samsung SAMSUNG-SM-G920A/universal7420;WIFI)",1004
"Mozilla/5.0 (Windows NT 6.1; WOW64; rv:15.0) Gecko/20120912 Firefox/15.0.1",999
"VisualDx Android/7.2.14 (Android 6.0.1-MMB29M; asus P024/EeePad;WIFI)",992
